City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Saint-Joseph,RE,75.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
493,Boyolangu,ID,75.78,overcast clouds,-8.1181,111.8935,Yos ega cv
496,Victor Harbor,AU,76.19,broken clouds,-35.5667,138.6167,McCracken Country Club
501,Acara,BR,75.81,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
504,Anori,BR,78.75,moderate rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
512,Gamba,GA,78.66,light rain,-2.65,10.0,
516,Kralendijk,BQ,82.38,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
518,Sumbe,AO,77.58,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
519,Morant Bay,JM,83.82,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
521,Richards Bay,ZA,76.96,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
524,Teresina,BR,85.71,clear sky,-5.0892,-42.8019,Metropolitan Hotel‎
530,Cockburn Town,TC,80.62,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
533,Norsup,VU,83.68,few clouds,-16.0667,167.3833,Nabelchel Bungalows
538,Kabo,CF,78.08,overcast clouds,7.6994,18.629,
539,Les Cayes,HT,77.32,scattered clouds,18.2,-73.75,Villa Orphee
547,Poum,NC,81.05,few clouds,-20.2333,164.0167,Gîte kajeon
549,Diego De Almagro,CL,75.58,few clouds,-26.3667,-70.05,hotel luna del desierto
552,Amahai,ID,81.03,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
558,Velingara,SN,79.03,broken clouds,13.15,-14.1167,Hotel Najla
559,Ternate,ID,82.24,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
563,La Asuncion,VE,82.13,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
568,Wad Rawah,SD,77.7,clear sky,15.1603,33.1397,ود الترابي
570,Houma,US,75.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
571,Tonj,SS,80.2,broken clouds,7.2737,28.6822,Lakan Hotel
576,Sinnamary,GF,77.58,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
589,Coahuayana,MX,83.75,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
608,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
614,Mitsamiouli,KM,80.82,few clouds,-11.3847,43.2844,Foyer ADM
616,Sao Jose Da Coroa Grande,BR,77.72,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
618,Calabar,NG,77.25,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
619,Flic En Flac,MU,78.53,clear sky,-20.2742,57.3631,Hilton Mauritius Resort & Spa
621,Diamantino,BR,76.64,moderate rain,-14.4086,-56.4461,Hotel Delta
623,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
629,Hambantota,LK,77.05,clear sky,6.1241,81.1185,Bungalow 63
630,Brokopondo,SR,77.31,overcast clouds,4.75,-55.1667,Matu Island
631,Fomboni,KM,81.79,clear sky,-12.28,43.7425,Auberge les abou
640,Micheweni,TZ,79.56,light rain,-4.9667,39.8333,
642,Kousseri,CM,80.56,broken clouds,12.0769,15.0306,Le Pilotis
644,Yonibana,SL,75.45,scattered clouds,8.4447,-12.245,
646,Port Blair,IN,78.39,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
647,Felipe Carrillo Puerto,MX,76.46,few clouds,19.5833,-88.05,Hotel La Ceiba
657,Buala,SB,80.4,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
662,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
665,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
670,Labuhan,ID,78.49,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
673,Ponnani,IN,76.32,scattered clouds,10.767,75.9252,Rouba Residency
675,Las Vegas,US,77.11,few clouds,36.175,-115.1372,Plaza Hotel & Casino
676,Emerald,AU,82.98,overcast clouds,-23.5333,148.1667,The Irish Village
679,Lodwar,KE,81.14,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
684,Yaan,NG,79.99,broken clouds,7.3833,8.5667,
688,Moerai,PF,77.99,light rain,-22.4333,-151.3333,Le Manotel
689,Neuquen,AR,85.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
693,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
695,Miami Beach,US,78.03,broken clouds,25.7906,-80.1301,Albion Hotel
697,Salinopolis,BR,79.83,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
699,Ouadda,CF,76.48,overcast clouds,8.0777,22.4007,
