City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Qurayyat,SA,31.3318,37.3428,51.98,58,0,6.91,clear sky
79,Cherskiy,RU,68.75,161.3,-47.02,100,85,4.65,overcast clouds
80,Cape Town,ZA,-33.9258,18.4232,62.1,90,75,5.01,light rain
81,Tiksi,RU,71.6872,128.8694,-15.2,95,100,6.2,overcast clouds
82,Saldanha,ZA,-33.0117,17.9442,60.85,93,13,15.57,few clouds
83,Norman Wells,CA,65.282,-126.8329,-11.97,82,65,4.43,broken clouds
84,Bakel,SN,14.905,-12.4568,82.11,13,96,11.3,overcast clouds
85,Mayumba,GA,-3.432,10.6554,78.67,90,99,3.06,light rain
86,Dekar,BW,-21.5333,21.9333,71.26,66,63,14.09,broken clouds
87,Ponta Delgada,PT,37.7333,-25.6667,64.51,63,75,5.75,broken clouds
88,Bluff,NZ,-46.6,168.3333,54.81,50,72,12.84,broken clouds
89,Saskylakh,RU,71.9167,114.0833,-27.94,97,100,4.03,overcast clouds
90,Ust-Kuyga,RU,70.0167,135.6,-25.06,100,100,3.22,overcast clouds
91,Suntar,RU,62.1444,117.6319,-23.06,98,64,3.98,broken clouds
92,Tasiilaq,GL,65.6145,-37.6368,29.98,92,99,26.8,snow
93,Lima,PE,-12.0432,-77.0282,71.91,75,90,16.11,overcast clouds
94,Flinders,AU,-34.5833,150.8552,66.2,74,98,6.13,overcast clouds
95,Ialibu,PG,-6.2821,143.9935,59.63,87,83,1.83,broken clouds
96,Shingu,JP,33.7333,135.9833,51.66,90,99,5.19,overcast clouds
97,Albany,US,42.6001,-73.9662,37.81,61,97,4.52,overcast clouds
98,Yarada,IN,17.65,83.2667,77.32,94,75,2.3,mist
99,Copiapo,CL,-27.3667,-70.3333,58.69,31,10,6.78,clear sky
100,La Huerta,MX,19.4667,-104.65,82.89,54,98,6.89,overcast clouds
101,Xuddur,SO,4.1213,43.8894,73.44,54,53,9.89,broken clouds
102,Liberia,LR,6.5,-9.5,75.45,90,100,2.95,overcast clouds
103,Covington,US,39.0837,-84.5086,62.51,77,90,1.99,overcast clouds
104,Murray Bridge,AU,-35.1167,139.2667,74.86,52,68,0.92,broken clouds
