City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kieta,PG,2021-12-02 00:56:24,-6.2167,155.6333,86.65,62,98,4.32
68,Srednekolymsk,RU,2021-12-02 00:56:24,67.45,153.6833,-37.79,100,41,1.79
69,Kapaa,US,2021-12-02 00:56:25,22.0752,-159.319,84.18,73,30,3.0
70,Whitecourt,CA,2021-12-02 00:56:25,54.1502,-115.6855,34.84,60,75,5.75
71,Camacupa,AO,2021-12-02 00:56:26,-12.0167,17.4833,62.22,97,100,4.45
72,Magadan,RU,2021-12-02 00:56:26,59.5667,150.8,10.17,90,100,32.37
73,Lompoc,US,2021-12-02 00:56:27,34.6391,-120.4579,69.21,84,90,1.99
74,Lazaro Cardenas,MX,2021-12-02 00:56:27,17.9583,-102.2,79.02,80,0,4.32
75,Suntar,RU,2021-12-02 00:56:28,62.1444,117.6319,-16.26,95,100,4.12
76,Avarua,CK,2021-12-02 00:56:28,-21.2078,-159.775,75.25,94,75,18.41
77,Yumen,CN,2021-12-02 00:56:28,40.2833,97.2,22.3,36,0,7.94
78,Mehamn,NO,2021-12-02 00:56:28,71.0357,27.8492,33.37,60,100,26.69
79,Saskylakh,RU,2021-12-02 00:56:29,71.9167,114.0833,-33.81,100,99,1.05
80,Port Elizabeth,ZA,2021-12-02 00:56:29,-33.918,25.5701,66.09,82,0,23.02
81,Constitucion,CL,2021-12-02 00:53:13,-35.3333,-72.4167,53.26,87,100,11.07
82,Champerico,GT,2021-12-02 00:56:29,14.3,-91.9167,84.74,70,4,4.29
83,Aykhal,RU,2021-12-02 00:54:37,66.0,111.5,-20.09,100,95,4.65
84,Urumqi,CN,2021-12-02 00:56:30,43.801,87.6005,7.75,79,1,2.24
85,Pochutla,MX,2021-12-02 00:56:30,15.7432,-96.4661,75.02,77,99,3.27
86,Saint-Georges,GD,2021-12-02 00:56:30,12.0564,-61.7485,82.08,78,20,11.5
87,Bredasdorp,ZA,2021-12-02 00:54:52,-34.5322,20.0403,59.72,71,100,10.49
88,Cape Town,ZA,2021-12-02 00:53:16,-33.9258,18.4232,61.21,63,20,9.22
89,Nanakuli,US,2021-12-02 00:57:31,21.3906,-158.1547,84.04,57,20,13.8
90,Nedjo,ET,2021-12-02 00:57:31,9.5046,35.5019,58.73,52,32,2.3
91,Patacamaya,BO,2021-12-02 00:57:31,-17.2333,-67.9167,52.77,68,100,5.44
92,Inirida,CO,2021-12-02 00:57:32,3.8653,-67.9239,76.23,90,100,2.01
93,Honiara,SB,2021-12-02 00:53:00,-9.4333,159.95,85.46,73,100,4.25
94,Ribeira Grande,PT,2021-12-02 00:55:28,38.5167,-28.7,64.26,81,9,7.07
95,Carballo,ES,2021-12-02 00:57:32,43.213,-8.691,50.54,90,100,13.85
96,Barrow,US,2021-12-02 00:57:32,71.2906,-156.7887,-21.06,98,23,4.7
97,Yoichi,JP,2021-12-02 00:57:33,43.2039,140.7703,32.77,85,100,29.24
98,Dikson,RU,2021-12-02 00:57:33,73.5069,80.5464,-6.99,96,100,15.12
99,Tanete,ID,2021-12-02 00:57:33,-3.9443,119.7848,84.15,74,100,2.3
100,Tabuk,PH,2021-12-02 00:57:34,17.4189,121.4443,70.36,84,90,9.93
101,Half Moon Bay,US,2021-12-02 00:57:34,37.4636,-122.4286,70.99,64,0,3.31
102,Kodiak,US,2021-12-02 00:55:15,57.79,-152.4072,15.31,73,90,21.85
103,Deputatskiy,RU,2021-12-02 00:57:35,69.3,139.9,-37.01,100,57,2.28
104,Rabak,SD,2021-12-02 00:57:35,13.1809,32.74,80.04,26,0,11.63
105,Jian,CN,2021-12-02 00:57:35,27.1172,114.9793,46.27,45,0,2.71
106,Jamestown,US,2021-12-02 00:57:35,42.097,-79.2353,38.71,83,100,7.0
107,Bensonville,LR,2021-12-02 00:57:36,6.4461,-10.6125,76.41,90,26,2.53
108,Baruun-Urt,MN,2021-12-02 00:52:41,46.6806,113.2792,21.06,62,18,17.56
109,Hofn,IS,2021-12-02 00:57:36,64.2539,-15.2082,26.94,75,100,5.32
110,Pacific Grove,US,2021-12-02 00:54:49,36.6177,-121.9166,72.0,46,0,2.82
111,Sur,OM,2021-12-02 00:56:44,22.5667,59.5289,71.71,52,0,2.64
112,San Cristobal,VE,2021-12-02 00:57:37,7.7669,-72.225,71.78,94,47,2.17
113,New Norfolk,AU,2021-12-02 00:52:53,-42.7826,147.0587,88.66,24,84,6.62
114,Gornopravdinsk,RU,2021-12-02 00:57:37,60.05,69.9,36.27,84,100,14.2
115,Havre,FR,2021-12-02 00:57:38,49.5833,0.3333,44.37,76,75,18.41
116,Along,IN,2021-12-02 00:57:38,28.1667,94.7667,54.7,70,100,1.48
117,Pangnirtung,CA,2021-12-02 00:57:38,66.1451,-65.7125,2.93,97,100,7.16
118,Rawson,AR,2021-12-02 00:57:39,-43.3002,-65.1023,68.29,52,0,9.22
119,Dengzhou,CN,2021-12-02 00:57:39,37.8086,120.7508,39.69,51,1,18.92
120,Hilo,US,2021-12-02 00:56:13,19.7297,-155.09,77.25,89,42,3.0
121,Airai,TL,2021-12-02 00:57:39,-8.9266,125.4092,74.21,54,100,2.26
122,Oranjemund,NA,2021-12-02 00:55:14,-28.55,16.4333,60.13,93,88,11.1
123,Svetlaya,RU,2021-12-02 00:57:40,46.5389,138.3297,18.68,62,89,10.83
124,Sorrento,IT,2021-12-02 00:57:40,40.626,14.3744,57.33,46,54,3.0
125,Taos,US,2021-12-02 00:57:40,36.4072,-105.5731,49.44,29,0,1.01
126,Castro,BR,2021-12-02 00:57:41,-24.7911,-50.0119,62.82,96,32,8.46
127,Victoria,HK,2021-12-02 00:55:41,22.2855,114.1577,63.25,44,12,1.01
128,Provideniya,RU,2021-12-02 00:54:39,64.3833,-173.3,0.36,50,40,6.71
129,Beringovskiy,RU,2021-12-02 00:57:41,63.05,179.3167,1.98,88,56,12.95
130,Oltu,TR,2021-12-02 00:57:42,40.5498,42.0013,24.6,97,100,1.9
131,Yellowknife,CA,2021-12-02 00:57:42,62.456,-114.3525,-1.68,84,90,10.36
132,Aklavik,CA,2021-12-02 00:58:42,68.2191,-135.0107,-16.6,76,90,8.05
133,Sorland,NO,2021-12-02 00:58:16,67.667,12.6934,34.79,59,100,35.3
134,Lasa,IT,2021-12-02 00:58:42,46.6166,10.7002,38.14,97,100,1.21
135,Hoi An,VN,2021-12-02 00:58:43,15.8794,108.335,66.16,83,100,10.02
136,Butaritari,KI,2021-12-02 00:58:43,3.0707,172.7902,82.22,77,100,10.96
137,Acarau,BR,2021-12-02 00:58:43,-2.8856,-40.12,80.51,78,98,13.67
138,Ilulissat,GL,2021-12-02 00:58:06,69.2167,-51.1,30.97,61,100,11.52
139,Komsomolskiy,UZ,2021-12-02 00:58:44,40.4272,71.7189,35.02,69,9,4.61
140,Margate,GB,2021-12-02 00:58:44,51.3813,1.3862,38.7,76,48,10.0
141,Bluff,NZ,2021-12-02 00:58:45,-46.6,168.3333,70.81,71,100,10.16
142,Dillon,US,2021-12-02 00:58:45,34.4166,-79.3712,60.37,55,100,7.34
143,Nikolskoye,RU,2021-12-02 00:58:45,59.7035,30.7861,21.09,98,95,3.29
144,Sao Raimundo Das Mangabeiras,BR,2021-12-02 00:54:08,-7.0219,-45.4811,79.03,73,96,1.36
145,Kavieng,PG,2021-12-02 00:54:53,-2.5744,150.7967,85.41,65,68,7.61
146,Watsa,CD,2021-12-02 00:58:46,3.0372,29.5355,64.08,93,100,2.46
147,Ormara,PK,2021-12-02 00:58:46,25.2088,64.6357,74.57,41,0,5.48
148,Hjelset,NO,2021-12-02 00:58:46,62.7833,7.4833,30.04,93,90,3.44
149,Carnarvon,AU,2021-12-02 00:55:24,-24.8667,113.6333,73.47,56,0,26.46
150,Guerrero Negro,MX,2021-12-02 00:58:47,27.9769,-114.0611,65.8,73,1,8.99
151,Yatou,CN,2021-12-02 00:58:47,37.15,122.3833,39.67,45,0,14.81
152,Padang,ID,2021-12-02 00:58:48,-0.9492,100.3543,80.65,75,19,0.69
153,Gualaquiza,EC,2021-12-02 00:58:48,-3.4,-78.55,64.17,98,62,0.94
154,Vaini,TO,2021-12-02 00:58:48,-21.2,-175.2,86.16,79,20,11.5
155,Dunedin,NZ,2021-12-02 00:58:49,-45.8742,170.5036,60.21,82,100,16.33
156,Colares,PT,2021-12-02 00:58:49,38.7992,-9.4469,56.28,85,100,15.01
157,Korla,CN,2021-12-02 00:55:11,41.7597,86.1469,21.63,73,1,2.42
158,Cherskiy,RU,2021-12-02 00:56:33,68.75,161.3,-31.32,100,71,5.17
159,Imbituba,BR,2021-12-02 00:58:50,-28.24,-48.6703,71.82,85,100,8.14
160,Shingu,JP,2021-12-02 00:58:06,33.7333,135.9833,47.39,48,0,3.09
161,Moranbah,AU,2021-12-02 00:58:30,-22.0016,148.0466,87.08,44,0,8.1
